codigo,perfume,formato,nombre,marca
5.1.081,neutro,tableta,'Top super tablet 450g,Wanadry
5.1.049,spa,saquito,'Top saquito 450g perfumado',Wanadry
5.1.044,lavanda,'bolsitas10g','Bolsitas perfumadas Lavanda',Bolaseca
5.1.045,spa,'bolsitas10g','Bolsitas perfumadas Spa',Bolaseca
5.1.079,neutro,bolsitas10g,'Frigorifico sin olor',Bolaseca
5.1.007,neutro,saquito,'Recambio saquito 450g',Wanadry
5.1.077,neutro,tableta,'Recambio tableta 450g',Wanadry
19010101,neutro,pastilla,'Limpiador Wanaclean 48 pastillas',Wanaclean
