nodo_inicio,relacion,nodo_fin
5.1.081,USO,antihumedad
5.1.044,USO,ambientador
19010101,USO,limpiador
19010101,USO,desinfectante
5.1.007,USO,antihumedad
5.1.045,USO,ambientador
5.1.049,USO,ambientador
5.1.049,USO,antihumedad
